# snid z logmass logmass_min logmass_max logsfr logsfr_min logsfr_max
2009ad 0.028 10.558 10.517 10.679 -99.000 -99.000 -99.000 
2006mr 0.006 11.012 -99.000 12.781 -99.000 -99.000 3.116 
2005gj 0.062 8.036 7.664 8.686 -0.913 -1.297 -0.218 
2007on 0.006 10.731 -99.000 12.666 -99.000 -99.000 3.062 
2007ol 0.056 10.201 10.187 10.392 -99.000 -99.000 -99.000 
2008fr 0.040 8.768 7.539 8.940 -0.806 -99.000 -0.193 
2008fp 0.006 10.072 10.032 10.074 -99.000 -99.000 -99.000 
2008fw 0.009 7.874 -99.000 13.216 -1.024 -99.000 3.381 
2008fu 0.052 10.631 10.594 10.752 -99.000 -99.000 -99.000 
2006eq 0.050 10.094 10.081 10.266 -99.000 -99.000 -99.000 
2006et 0.023 11.424 11.037 11.428 -99.000 -99.000 0.266 
2006ev 0.029 10.905 10.869 11.365 -99.000 -99.000 0.270 
2006ej 0.021 10.697 10.469 11.128 -99.000 -99.000 1.165 
2008ff 0.019 10.882 -99.000 13.831 1.187 -99.000 4.173 
2008fl 0.020 11.336 -99.000 13.831 -99.000 -99.000 4.173 
2006ef 0.018 10.647 9.302 11.208 -99.000 -99.000 1.163 
2007S 0.014 9.969 9.933 9.981 -99.000 -99.000 -99.000 
2006lu 0.053 10.414 10.198 10.752 -99.000 -99.000 0.946 
2006gj 0.028 11.113 10.569 11.190 0.017 -99.000 1.240 
2007hx 0.079 10.591 10.553 10.984 -99.000 -99.000 1.072 
2007A 0.018 10.616 10.601 10.643 -99.000 -99.000 -99.000 
2007N 0.013 10.262 10.256 10.342 -99.000 -99.000 -99.000 
2007hj 0.014 10.511 10.476 10.981 -99.000 -99.000 -0.156 
2008ar 0.026 10.205 10.031 10.225 -99.000 -99.000 -99.000 
2005lu 0.032 10.184 10.008 10.489 -99.000 -99.000 1.286 
2008ae 0.030 10.536 10.499 10.731 -99.000 -99.000 1.038 
2006bd 0.026 10.928 10.736 10.939 -99.000 -99.000 -99.000 
2006dd 0.006 11.009 -99.000 12.781 -99.000 -99.000 3.115 
2005al 0.012 10.438 10.419 10.466 -99.000 -99.000 -99.000 
2005am 0.008 11.044 10.828 11.482 -99.000 -99.000 1.492 
2006os 0.033 11.396 10.894 11.475 0.300 -99.000 1.503 
2005ag 0.080 11.335 10.912 11.405 1.137 -99.000 1.484 
2006ot 0.053 11.679 11.127 11.804 0.583 -99.000 1.832 
2007mm 0.066 10.456 8.663 10.755 0.667 -99.000 1.118 
2006gt 0.045 10.414 10.010 10.540 0.637 -99.000 0.669 
2006ob 0.059 11.699 11.150 11.874 1.457 -99.000 1.878 
2006py 0.058 9.853 9.820 9.860 -99.000 -99.000 -99.000 
2004gu 0.046 10.590 10.073 10.624 0.348 -99.000 0.672 
2005ir 0.076 10.253 10.158 10.502 -99.000 -99.000 0.742 
2004gs 0.027 10.492 10.490 10.529 -99.000 -99.000 -99.000 
2005iq 0.034 10.540 10.461 11.137 -99.000 -99.000 1.185 
2008hu 0.050 10.495 10.348 11.132 -99.000 -99.000 1.099 
2004gc 0.032 10.213 10.175 10.642 -99.000 -99.000 0.400 
2007nq 0.045 11.584 11.118 11.757 1.774 -99.000 1.815 
2005na 0.026 10.885 10.853 11.017 -99.000 -99.000 -99.000 
2005W 0.009 11.119 10.630 11.159 1.179 -99.000 1.289 
2007ux 0.031 10.205 10.166 10.210 -99.000 -99.000 -99.000 
2005M 0.022 9.804 9.787 9.813 -99.000 -99.000 -99.000 
2006fw 0.084 10.149 -99.000 10.902 0.434 -99.000 1.297 
2005A 0.019 11.128 11.085 11.551 -99.000 -99.000 1.670 
2008gp 0.033 10.899 10.742 10.904 -99.000 -99.000 -99.000 
2008ha 0.005 8.807 8.744 8.883 -0.078 -99.000 -0.059 
2010ae 0.004 9.487 -99.000 12.671 -99.000 -99.000 3.131 
2009ab 0.011 10.356 10.292 10.392 -99.000 -99.000 -99.000 
2009aa 0.027 10.432 10.424 10.516 -99.000 -99.000 -99.000 
2009ag 0.009 10.309 8.542 11.085 -99.000 -99.000 1.474 
2008gg 0.032 10.648 9.400 11.340 -99.000 -99.000 1.789 
2008gl 0.034 11.432 11.362 11.440 1.190 1.182 1.565 
2008go 0.062 10.783 10.750 11.389 -99.000 -99.000 1.394 
2008R 0.013 11.094 10.610 11.584 -99.000 -99.000 1.877 
2006is 0.031 7.334 -99.000 14.034 -1.627 -99.000 4.074 
2008O 0.039 11.742 -99.000 14.450 1.932 -99.000 4.824 
2005ku 0.045 9.722 9.309 11.764 0.765 -99.000 2.037 
2004ey 0.016 9.941 8.767 10.474 -99.000 -99.000 1.137 
2008bi 0.013 11.158 9.072 11.337 -99.000 -99.000 1.687 
2008bf 0.024 8.845 8.651 9.303 -99.000 -99.000 -0.684 
2008bd 0.030 11.031 10.804 11.663 -99.000 -99.000 1.988 
2006ax 0.017 10.493 10.486 10.558 -99.000 -99.000 -99.000 
2004eo 0.016 10.948 10.904 11.422 -99.000 -99.000 1.483 
2007cg 0.033 10.467 10.432 10.469 -99.000 -99.000 -99.000 
2005kc 0.015 10.889 10.854 10.891 -99.000 -99.000 -99.000 
2008bz 0.060 10.936 10.932 10.941 0.694 0.690 0.699 
2005ke 0.005 10.270 10.068 10.942 -99.000 -99.000 1.209 
2007ca 0.014 9.963 8.678 10.206 0.349 -99.000 0.989 
2004ef 0.031 10.773 10.771 10.851 -99.000 -99.000 -99.000 
2008bt 0.015 11.215 10.589 11.274 0.078 -99.000 1.270 
2008C 0.017 10.168 10.166 10.170 -99.000 -99.000 -99.000 
2008J 0.016 10.309 10.213 10.981 -99.000 -99.000 0.944 
2008bc 0.015 9.943 -99.000 13.577 -99.000 -99.000 3.942 
2007so 0.030 11.462 11.457 11.467 0.366 0.361 0.371 
2006hb 0.015 10.250 9.113 10.976 -99.000 -99.000 1.391 
2007ai 0.032 10.819 10.703 11.169 -99.000 -99.000 1.974 
2007st 0.021 11.414 -99.000 13.877 -99.000 -99.000 4.173 
2007sr 0.005 6.300 -99.000 7.482 -99.000 -99.000 -2.105 
2006hx 0.045 10.388 10.220 10.726 -99.000 -99.000 0.484 
2005ki 0.019 11.103 11.083 11.107 -99.000 -99.000 -99.000 
2007le 0.007 9.970 9.961 10.059 -99.000 -99.000 -99.000 
2004dt 0.020 10.806 10.380 11.358 -99.000 -99.000 1.704 
2009cz 0.021 11.057 10.693 11.213 1.300 -99.000 1.331 
2006kf 0.021 10.714 10.710 10.774 -99.000 -99.000 -99.000 
2005hc 0.046 10.495 10.469 11.026 -99.000 -99.000 1.153 
2008bq 0.034 11.453 -99.000 14.349 -99.000 -99.000 4.686 
2005hk 0.013 8.780 8.435 9.392 -0.169 -0.526 0.483 
2005hj 0.057 9.586 9.423 9.961 -99.000 -99.000 0.073 
2005eq 0.029 11.032 10.630 11.190 1.248 -99.000 1.320 
2006X 0.005 10.595 10.424 10.677 -99.000 -99.000 -99.000 
2007if 0.074 11.515 10.672 12.364 2.594 -99.000 3.029 
2006D 0.009 9.907 9.697 10.402 -99.000 -99.000 0.963 
2005el 0.015 10.688 10.680 10.851 -99.000 -99.000 -99.000 
2007as 0.018 9.225 -99.000 13.834 0.265 -99.000 3.873 
2009le 0.018 10.752 10.660 11.348 -99.000 -99.000 1.915 
2009I 0.026 10.642 10.343 11.095 -99.000 -99.000 1.763 
2007ax 0.007 9.903 9.899 9.942 -99.000 -99.000 -99.000 
2009dc 0.021 10.631 10.463 10.657 -99.000 -99.000 -99.000 
2008ia 0.022 11.221 -99.000 13.877 -99.000 -99.000 4.173 
2007af 0.005 9.449 8.808 10.020 -99.000 -99.000 0.724 
2005mc 0.025 10.800 10.770 10.961 -99.000 -99.000 -99.000 
2007al 0.012 9.312 9.154 9.698 -99.000 -99.000 -0.177 
2009ds 0.019 10.696 9.431 11.374 -99.000 -99.000 1.791 
2007jh 0.041 10.860 10.823 11.475 -99.000 -99.000 1.503 
2008hv 0.013 10.740 10.663 11.404 -99.000 -99.000 1.432 
2007jd 0.073 10.496 10.192 10.618 0.708 -99.000 0.795 
2007jg 0.037 8.418 -99.000 10.343 -0.534 -99.000 0.755 
2005bg 0.023 10.189 10.176 10.209 -99.000 -99.000 -99.000 
2006bh 0.011 10.532 -99.000 13.293 -99.000 -99.000 3.566 
2005be 0.035 10.588 10.524 11.023 -99.000 -99.000 -0.073 
2005bo 0.014 10.442 10.413 10.450 -99.000 -99.000 -99.000 
2008hj 0.038 10.457 9.340 10.885 -99.000 -99.000 1.654 
2005bl 0.024 11.147 11.114 11.151 -99.000 -99.000 -99.000 
2009Y 0.009 10.882 10.373 11.407 -99.000 -99.000 1.739 
2006br 0.025 10.853 10.846 11.036 -99.000 -99.000 -99.000 
2006bt 0.032 10.872 10.866 11.033 -99.000 -99.000 -99.000 
2009P 0.025 9.926 9.899 9.949 -99.000 -99.000 -99.000 
2008cd 0.007 9.618 9.616 9.653 -99.000 -99.000 -99.000 
2008cf 0.046 10.855 10.170 11.539 1.925 -99.000 2.452 
2008cc 0.010 10.408 -99.000 13.214 -99.000 -99.000 3.566 
2007bd 0.031 10.936 10.543 11.202 1.221 -99.000 1.258 
2009J 0.016 10.887 -99.000 13.644 -99.000 -99.000 3.917 
2007ba 0.038 11.053 11.051 11.056 -99.000 -99.000 -99.000 
2009al 0.022 10.747 10.611 10.751 -99.000 -99.000 -99.000 
2007bc 0.021 10.742 10.639 10.825 -99.000 -99.000 -99.000 
2007bm 0.006 10.016 9.883 10.725 -99.000 -99.000 1.166 
2009D 0.025 10.750 10.364 10.885 0.951 -99.000 1.064 
2009F 0.013 11.273 10.568 11.346 -99.000 -99.000 1.341
